caption,username,post_url,filename,google_drive_link
"San Francisco, 1945. Fifty nations gather to promise peace. 🇺🇳  Only one Black woman is in the U.S. delegation—and she sees what others can’t.  “The colonial system… is today undemocratic, socially dangerous, and a main cause of wars.”  Mary McLeod Bethune warned that the new United Nations couldn’t stand on old hierarchies.  History may have proved her right.  🎧 Listen on HISTORY This Week: They Saw What the United Nations Couldn’t.  🔗 Link in bio, or wherever you get your podcasts.  1. Poster by Leslie Ragan, United States Office of War Information, 1943 2. Plenary session of the San Francisco Conference, 1945 3. Mary MacLeod Bethune addresses a crowd at the San Francisco Conference, 1945 4. Colonial Problem map, Edwin Sundberg, New York Sunday News, 1947 5. Signing the UN Charter, 1945 6. UN Day poster, US National Commission for UNESCO, 1951  —  #HistoryThisWeek #UnitedNations #MaryMcLeodBethune #UNHistory #OnThisDay #WorldHistory #AmericanHistory #CivilRightsHistory #WomensHistory #HiddenHistory #WWIIHistory #PostwarWorld #SanFrancisco1945 #HumanRights #BlackHistory #EducationHistory #PeaceHistory #DiplomaticHistory #HistoryPodcast #LearnHistory #ThisWeekInHistory",historythisweek,https://www.instagram.com/p/DQMWGGKkl4R/,post_0.jpg,https://drive.google.com/uc?id=1ECRlAvcpsb6bbfi40_LvSTkrbaCo-ILD
"🧱✨🏗️ October, 1955. Kids in Denmark tear open a new box of toys: the LEGO System in Play.  Every brick fits. Every set connects. No matter when—or where—it’s made.  It’s a simple idea that reshaped childhood and turned a small family workshop into one of the most successful companies on earth.  🎧 Listen on HISTORY This Week: the story of how LEGO rebuilt not just a toy, but the very idea of play.  🔗 Link in bio, or wherever you get your podcasts.  Image: LEGO System Gift Package, 1956  —  #HistoryThisWeek #LEGO #LEGOHistory #ToyHistory #Podcast #OnThisDay #HistoryPodcast #PlayWell #Imagination #DesignHistory",historythisweek,https://www.instagram.com/p/DP18j1HEoW7/,post_1.jpg,https://drive.google.com/uc?id=1adVVGhZrr31_zSxjE4bw9r10JOJ5egvI
This is the REAL history behind your favorite horror films...   #InstantHistory,history,https://www.instagram.com/p/DQRY4jJAWmB/,post_2.jpg,https://drive.google.com/uc?id=1P6B8z5cCxKZ0lEqNynq5cc87ID_-T6ZU
"Two years before “The Birds” premiered, a real-life bird apocalypse struck a seaside town in California: birds rained down so savagely they smashed into houses, killed themselves in piles and even assaulted residents. Alfred Hitchcock—already developing a thriller about avian chaos—snapped up newspaper clippings on the episode and wove the eerie, unexplained disaster into his movie’s DNA.To learn more, visit the link in our bio. #HISTORY",history,https://www.instagram.com/p/DQKib4_k_1-/,post_3.jpg,https://drive.google.com/uc?id=1AiwVMPLXAPtWYmA7XifJjsKv3yFNCxJU
"The U.S. formally took possession of Alaska from Russia on October 18, 1867. The price? $7.2 million, or less than two cents an acre. Here are three other fascinating facts about the 49th state. Why was the purchase of Alaska far from folly? Comment ALASKA to learn more. #HISTORY",history,https://www.instagram.com/p/DQHU47oDTYL/,post_4.jpg,https://drive.google.com/uc?id=15mS8PmbsPqkPPI7jG27f5U9WVgzFNwyR
"ILOVEU ❤️ Also known as the Love Bug and Loveletter, the worm reached over 45 million computers in 24 hours and ultimately infected 10 percent of computers connected to the internet, causing billions of dollars in damage. To learn more, visit the link in our bio. #HISTORY",history,https://www.instagram.com/p/DPyRibpleGU/,post_5.jpg,https://drive.google.com/uc?id=1mPfxm9ae6C7flMYbl8ulUzj-w_O_eWBy
The UnBelievable with Dan Aykroyd: The Silent Neighbor  Join The UnBelievable’s Dan Aykroyd as he tells a chilling bedtime story.  New season of #TheUnBelievable with Dan Aykroyd premieres November 7th at 9/8c only on History.,history,https://www.instagram.com/p/DQMrhwEjml_/,post_6.jpg,https://drive.google.com/uc?id=1S4vMcsW1H82XmsrYCraJpzdx-x86GOA5
Which Presidential Halloween costume is your favorite?! 👻   #InstantHistory,history,https://www.instagram.com/p/DQNM-SdkdJl/,post_7.jpg,https://drive.google.com/uc?id=1p2EjO-PxY5kn-f1p1ddnCoFKsF65K8Es
"After being found guilty of spying for the Germans during World War I, dancer Mata Hari was executed by a French firing squad on #ThisDayinHistory 1917. What led one of Europe’s most prominent exotic dancers to espionage? Find out at the link in bio. #HISTORY",history,https://www.instagram.com/p/DP1uBe7jYRW/,post_8.jpg,https://drive.google.com/uc?id=177aGvJ2HVYfNVRsmhd2_oahUlvxn3pZw
"The Renaissance fair didn’t arise from medieval reenactment at all—but from 1960s L.A., when a teacher and her art-director husband threw a backyard “Pleasure Faire” as a fundraiser. What began as a quirky countercultural experiment bloomed into the turkey-leg-and-jousting spectacle circuit we know today. Visit the link in our bio to learn more. #HISTORY",history,https://www.instagram.com/p/DP4H_-qjYUp/,post_9.jpg,https://drive.google.com/uc?id=1ZWOtCYvU2kVfNvJflfF6A55WhcnzS-lc
"🚨 Big news: History This Week is a 2x @signalawards nominee! 🚨  We put our hearts into making this show every week—digging into the past, chasing down voices, and crafting stories that make history feel alive today.   And now we need YOUR help.  The Signal Awards include a public vote, and every single one counts. If you’ve ever listened, learned something new, or shared an episode, please take a minute to cast your vote. We’re up for Best History Show and Best History Episode (“Anarchists, Lovers, and the Birth of the FBI”).  👉 VOTE at the link in our bio!   Or visit: https://vote.signalaward.com/  🗳️ Voting closes soon—don’t wait!  Thank you for supporting history storytelling that connects the past to the present.  —  #SignalAwards #HistoryThisWeek #VoteNow #History #historypodcast",historythisweek,https://www.instagram.com/p/DPCUC8gD1lg/,post_10.jpg,https://drive.google.com/uc?id=1pbn5FkNfxOMZcihaHFMqUqYZ73zpps7j
"Born on this day in 1940, Beatles vocalist and guitarist John Lennon, who also performed solo and with his partner Yoko Ono, would have been 85 today. The legendary musician’s poetic lyrics and tight harmonies helped imagine a better world. He was also a style icon! Happy birthday, John. #HISTORY",history,https://www.instagram.com/p/DPliLhyj03C/,post_11.jpg,https://drive.google.com/uc?id=1hsBY0W9JTx9ZzBijOzQBzjoXvO335UJU
"Jane Goodall, the global icon, world-renowned primatologist and conservationist, has died at 91.   Born in 1934, Goodall’s love of animals began in childhood and at just 26-years-old, led her to the forests of Tanzania with no formal training. There, she transformed science forever by showing that chimpanzees use and make tools — a behavior once thought to belong only to humans.   Her decades of research reshaped how we understand our closest relatives in the animal kingdom and inspired generations to care more deeply about the natural world.   She was named a UN Messenger of Peace and a Dame of the British Empire and received countless honors for her lifelong dedication to conservation and hope for the planet.",history,https://www.instagram.com/p/DPRuWmAkgWH/,post_12.jpg,https://drive.google.com/uc?id=1tr9LST-YYc0wV9IjTTtM26E4irD49WnY
"It’s one of the world’s most iconic images. But did you know the person who took it is unknown? We do know it was one of three photographers who were on site that day: Charles C. Ebbets, William Leftwich and Thomas Kelley. Click the link in bio for more surprising facts about “Lunch Atop a Skyscraper.” #HISTORY",history,https://www.instagram.com/p/DPeqUFrEggF/,post_13.jpg,https://drive.google.com/uc?id=1ZXLmEINVB5lg2UzWHsRIwcLMMVoQTDHN
Peak leaf-peeping season is approaching! Comment 🍂 or visit the link in our bio to learn more. #HISTORY,history,https://www.instagram.com/p/DPPOgnJAVye/,post_14.jpg,https://drive.google.com/uc?id=1pPmkr-Bxpix-N5ATjMRbUC-_UpcaFZC9
"The NOTORIOUS bad ball hitter, #Clemente, premieres tomorrow 9/23, at 8/7c.",historytv,https://www.instagram.com/p/DO6l76TiHkY/,post_15.jpg,https://drive.google.com/uc?id=1l98CsD2bfa3aER5kZ_O6Y9o04XLeo6xx
Roberto Clemente left a legacy on and off the field. 🔥  Our doc exploring his life and the impact it made is out now on @history.,uninterrupted,https://www.instagram.com/p/DO9RkyPkhAU/,post_16.jpg,https://drive.google.com/uc?id=1RA3bV1GS-j4httMrDKLD4OE--vUxiZwj
"🕹️ Nintendo almost lost it all with one bad bet: Radar Scope. It was their first major entry into American arcades, and it failed miserably. Thousands of unsold machines piled up in Brooklyn.   But out of that disaster came Donkey Kong… and a character named Mario.  Six years later, the NES would officially launch across America — reviving a dying industry and reshaping pop culture, with a plumber leading the way.  🎧 Listen to the full story in the latest episode of HISTORY This Week: When Nintendo (and Mario) Rescued Video Games.  👉 Link in bio.  Print ad for Radar Scope from Play Meter’s May 15, 1981 issue  —  #HistoryThisWeek #PodcastEpisode #PodcastPromo #HistoryPodcast #Nintendo #Mario #SuperMario #DonkeyKong #NES #NintendoHistory #NintendoEntertainmentSystem #RetroGaming #VideoGameHistory #GamingCulture #GameOver #80sGaming #ArcadeGames #GamingNostalgia #OnThisDay #ThrowbackGaming #PopCultureHistory #RetroVibes #CulturalHistory",historythisweek,https://www.instagram.com/p/DO6G20Sjt_8/,post_18.jpg,https://drive.google.com/uc?id=1t-nnm6U6wDPTgS24ihaQILCCD-In1b7M
