caption,username,post_url,filename,google_drive_link
"Whimsy or wonder? We'll let you decide  @NASAWebb recently took a look at the Sagittarius B2 molecular cloud: the most massive, and active star-forming region in our galaxy, located only a few hundred light years from the Milky Way's central supermassive black hole. Astronomers want to figure out why this cloud is so much more active than the rest of the galactic center. While Sgr B2 has only 10% of the galactic center's gas, it produces 50% of its stars.   Even with Webb's sensitive infrared capability, which allows it to see through clouds of dust and gas, there are regions so dense that our orbiting telescope can't see through them. These thick clouds are the raw material of future stars—and a cocoon for those still too young to shine.  The first three slides in this carousel show Sgr B2 as seen by Webb's Mid-Infrared Instrument, which captured glowing cosmic dust heated by very young massive stars in unprecedented detail. Note that while the dust and gas glow dramatically, all the bright stars disappear from view. In contrast, in near-infrared wavelengths (seen in the last three images), it's the colorful stars that steal the show. Astronomers will seek to discover the masses and ages of these stars to better learn about how they're formed in this dense, active region of the galactic center.   Read more at the link in @NASAWebb's bio.  Image credit: Image: NASA, ESA, CSA, STScI, Adam Ginsburg (University of Florida), Nazar Budaiev (University of Florida), Taehwa Yoo (University of Florida); Image Processing: Alyssa Pagan (STScI)  Image description: Two images of space, each split up into three slides. The first three slides depict a swirling patch of red and magenta clouds, with bright blue, six-pointed spots shining through. In the second three slides, the same image is seen in shades of orange, but the stars are much more numerous, filling the screen almost completely.  #NASA #Space #Universe #JWST #Astrophotography",nasa,https://www.instagram.com/p/DO_aSEbjuWU/,post_0.jpg,https://drive.google.com/uc?id=1UG6Q0VhMfE4HLwNOOg5HpnKrgP4fmmqv
"She’s different, but shines in her own way 🌞   In this photo of Uranus captured by @NASAHubble, its auroras are on full display. But unlike other members of the Solar System, the pair of auroras shine on Uranus’s left and right sides instead of at the top and bottom of the planet.   This is because of how the magnetic poles of Uranus are oriented. Most planets in our Solar System – like Earth – have magnetic poles on opposite vertical ends of the planet, with some tilting slightly to the side. Uranus, however, is the maverick of the planetary family. Its magnetic poles sit on opposite horizontal ends of the planet, as if the planet was lying on its side.   Auroras happen when energetic particles from the Sun collide with a planet’s magnetic shield, transferring their energy to particles in the planet’s atmosphere. When that built-up energy is released, it creates a light show emanating from the magnetic poles. Since Uranus has horizontal poles rather than vertical, its auroras appear on the left and right sides of the planet.   Image description: The sky blue planet of Uranus is centered against black space, glowing with deep blue auroras on its right and left sides. One of its rings is visible as a faint, white circle around the planet.   Credit: ESA/Hubble, NASA, L. Lamy, L. Sromovsky   #NASA #ESA #Uranus #Aurora #Planets #SolarSystem",nasa,https://www.instagram.com/p/DPB0dMRE-8m/,post_1.jpg,https://drive.google.com/uc?id=130iVG2iwoxb1UvzNU3aNl0mBdhFPg5dp
"Are you in this photo?  On Jan. 10, 2017, an astronaut aboard the International Space Station snapped this pic as the @ISS soared over the northeastern United States at night. Near the center is New York City, with the distinctive shape of Long Island trailing off to the right. Newark and New Jersey sit across the river to the left; Philadelphia is in the bottom-left corner and Hartford, CT is in the top-right. Interstate 95, which connects many of the cities in this image, is visible here as a thin bright line. (Check the coast of Connecticut if you don't see it at first.)   Astronaut photos taken from the space station aren't just pretty pictures: they provide a unique perspective of our changing Earth, especially for hazards and natural disasters. And Earth isn't the only world they're studying—when Artemis II lifts off in early 2026, our four-member crew will capture pictures of the Moon as it's never been seen before.  Image description: The bright lights of New England and the mid-Atlantic shine in this image taken from the International Space Station. The brightest concentrations are near the center and the bottom-left and top-right corners, but cities and towns fill most of the photo. The Atlantic Ocean takes up most of the bottom-right part of this image, with rivers and other bodies of water showing up as dark lines.  Credit: NASA/Shane Kimbrough  #NASA #Earth #SpaceStation #NYC #Philly #EarthAtNight",nasa,https://www.instagram.com/p/DPFCNyZk3NN/,post_2.jpg,https://drive.google.com/uc?id=1PdAqnC8naD414EyjZ3BKvDTSgr_V9Unq
@secduffynasa: Nothing embodies the American Dream more than our Astronaut Candidate Class of 2025.  One of these ten could be the first person to set foot on the surface of Mars.  Welcome to the Golden Age of Human Space Exploration! 💫🇺🇸🧑‍🚀,nasa,https://www.instagram.com/p/DO_yP7cCScG/,post_3.jpg,https://drive.google.com/uc?id=1LOEWV2ZFhgEplmZqsMGPDr8OFjo9i97U
"It just needs a little… shaping⁣  Combining data from @NASAChandraXray and @NASAWebb gave us this stunning view of a star-forming region, which highlights pink, wispy hair-like interstellar material.⁣  Closest to the center of the frame, there is a pair of bright stars – the most massive in this cluster. Winds from these stellar stylists may help sculpt the large loop seen on the right side of the field of view.⁣  Image description: Material resembling a tangle of dark pink hair swirls dramatically across the image. The picture is dotted with dozens of colorful orbs in various sizes. X-rays from Chandra are shown in red, green, and blue, while infrared data from Webb are pink, orange, and purple.⁣  Credit: X-ray: NASA/CXC/SAO; Infrared: NASA/ESA/CSA/STScI; Image Processing: NASA/CXC/SAO/J. Major⁣  #NASA #Webb #Chandra #Telescope #Stars #Lights",nasa,https://www.instagram.com/p/DO9PYNCk0aQ/,post_4.jpg,https://drive.google.com/uc?id=18vaJTWsU_uvaPsq4Y7a90ngVdDm-8RvM
"Baby, I can see your halo 🌒😇   Astronaut Matthew Dominick on the International Space Station captured this photo of an arc shape, called a partial lunar halo, cradling the Moon on Sept. 4, 2024.    At the time of this photo, the Moon was positioned ‘behind’ Earth’s atmosphere relative to the @ISS. Earth’s atmosphere – seen as layers of orange, white, and blue – acts like a lens, bending light that passes through it and toward the astronaut’s camera.    As that light passed through Earth’s upper atmosphere, it hit ice crystals that form when water vapor freezes onto tiny dust particles. These ice crystals bent, or refracted, the light, forming an arc that looks like a halo by the Moon!   Through NASA’s Artemis campaign, we’re learning more about our Moon than ever before. Next up is Artemis II, which will send a human crew to orbit the Moon for the first time in over 50 years. Follow @nasaartemis for more updates.   Image description: A photograph of an arc-shaped strip of white light cradling the Moon on its lower right side. Earth takes up the lower third of the image and is dark black. Above it are the glowing, colorful layers of Earth’s atmosphere, which are orange, red, white, and blue. The Moon is bright white, visible near the top of the blue atmospheric layer where it fades into the blackness of space.    Credit: NASA/Matthew Dominick   #NASA #Moon #SpaceStation #Earth #Space #ISS",nasa,https://www.instagram.com/p/DNqVTidT0R-/,post_5.jpg,https://drive.google.com/uc?id=1LQ6NN89m6EdIv9aa-NVs2p0_KFHsgvp9
"At NASA, we’re redefining the mirror selfie.⁣ ⁣ Astronaut Zena Cardman pauses to inspect her spacesuit’s wrist mirror, a small but crucial tool for reading suit displays and controls. This portrait, taken at @NASAJohnson in Houston, Texas, shows one of the many small moments of preparation in an astronaut’s journey to spaceflight.⁣ ⁣ Cardman, a Virginia native, is gearing up for her first spaceflight to the International Space Station as part of our SpaceX Crew-11 mission, scheduled to launch later this summer. Selected in the “Turtles” astronaut class of 2017, she has a research background in geobiology, with degrees in biology and marine sciences from the University of North Carolina, Chapel Hill.⁣ ⁣ Her experience includes multiple expeditions to Antarctica as part of her studies of life in extreme environments like caves and deep-sea sediments. Now, she’s taking on the next frontier.⁣ ⁣ This photo was one of NASA’s 2024 Photos of the Year, capturing the calm determination required in every moment of an astronaut’s training—even routine spacesuit checks.⁣ ⁣ Image description: Astronaut Zena Cardman wears a white spacesuit and looks down while adjusting a small mirror on her wrist, attached to her left glove. She is photographed against a dark background at Johnson Space Center.⁣ ⁣ Credit: NASA/Josh Valcarcel⁣ ⁣ #NASA #Astronaut #SpaceX #NASAPhotoOfTheYear #MirrorSelfie",nasa,https://www.instagram.com/p/DL5KetROhWu/,post_6.jpg,https://drive.google.com/uc?id=1r7b1f3Q-kLEtDrJs5tDcD1F6_HYxRQk0
"Take some time to enjoy the universe.  6,500 light-years away from Earth, the dusty Pillars of Creation reach out into the cosmos like a giant hand. Young stars are forming within this region of the Eagle Nebula, some ""only"" a few hundred thousand years old.  Our orbiting @NASAWebb telescope captured this view of the Pillars in 2022. Previous images from other telescopes, taken with visible light, were much more opaque—but Webb's near-infrared vision allows it to partially see through these pillars of gas and dust, revealing the stars within. Scientists are using these findings to understand how stars are born and develop into solar systems like our own.  Image description: Layers of semi-opaque, rusty-red gas and dust reach out from the bottom left of the image, forming finger-like pillars that extend into the top right. Peeking through the layers of gas and dust is the background, set in shades of blue and littered with tiny yellow and blue stars. Many of the tips of the pillars appear tinged with what looks like lava. There are also tiny red dots at the edges of the pillars, which are newly-born stars.  Credit: NASA, ESA, CSA, STScI  #NASA #Webb #Universe #Mindfulness",nasa,https://www.instagram.com/p/DPPPDobiXL3/,post_7.jpg,https://drive.google.com/uc?id=178qbWE8MbBp_NzibrJsP2Q27Q8DKpb-a
"Say hello to 10 future astronauts! 🧑‍🚀👋  On Monday, Sept. 22, we announced our 2025 class of astronaut candidates. These men and women, chosen from over 8,000 applicants, will embark on two years of training before graduating as flight-eligible astronauts, prepared for missions to low Earth orbit, the Moon, and Mars.  Our astronaut candidates have backgrounds in aviation, engineering, and medicine; they've even served as NASA interns and supported our Mars rovers! Visit nasa.gov/astronauts to learn more about the new class.  Image descriptions: NASA's 10 new astronaut candidates, wearing blue flight suits with their names and the NASA insignia, stand and smile at the camera. Our 2025 astronaut candidates are:  1) Ben Bailey, a chief warrant officer and Army experimental test pilot from Charlottesville, VA   2) Lauren Edgar, a geologist who worked on the Curiosity Mars rover and Artemis III science team, from Sammamish, WA   3) Adam Fuhrmann, a test pilot and major in the Air Force from Leesburg, VA   4) Cameron Jones, a test pilot and weapons officer in the Air Force from Savanna, IL   5) Yuri Kubo, a launch director and engineering executive from Columbus, IN   6) Rebecca Lawler, a former NOAA Hurricane Hunter and Naval aviator from Little Elm, TX   7) Anna Menon, who flew to space as a SpaceX engineer on the Polaris Dawn mission, from Houston, TX   8) Imelda Muller, an anesthesiologist from Copake Falls, NY   9) Erin Overcash, a Navy lieutenant commander and test pilot from Goshen, KY   10) Katherine Spies, a former flight test engineering director and Marine Corps test pilot from San Diego, CA   Credit: NASA  #NASA #Space #Astronaut",nasa,https://www.instagram.com/p/DO6k9uRkvoy/,post_8.jpg,https://drive.google.com/uc?id=1l4VDKSWmVt9A79yBTi4iYoHU8xbx6Mn7
"Under the sea🪸⁣  ⁣ In 2020, @NASAHubble released this image, nicknamed the “Cosmic Reef,” to celebrate 30 years in space. It shows a giant red nebula and its smaller blue neighbor, which are both part of a vast star-forming region in the Large Magellanic Cloud, a satellite galaxy of the Milky Way, located 163,000 light-years away. In this picture, we can see how young, energetic, massive stars illuminate and sculpt their birthplace with powerful winds and searing ultraviolet radiation.⁣  ⁣ At the heart of the big red nebula are sparkling stars, each of which are 10 to 20 times more massive than our Sun. The stars' ultraviolet radiation heats the surrounding dense gas. The massive stars also unleash fierce winds of charged particles that blast away lower-density gas, forming the bubble-like structures seen on the right, which resemble coral.⁣  ⁣ By contrast, the seemingly isolated blue nebula at lower left was created by a solitary mammoth star 200,000 times brighter than our Sun. The blue gas was ejected by the star through a series of eruptive events during which it lost part of its outer envelope of material.⁣  ⁣ Image description: An image is split in two. In the bottom left of the first image a bright blue ring appears, slightly fading in all directions, with a small blue dot in the middle. Red and orange waves of gas ripple, arcing from top left to top right. A light blue center appears out of the sea of red, and several bright white dots shine through. In the top right, dark blue gas emanates from the blackness of space.⁣  Credit: NASA, ESA, STScI⁣  ⁣ #NASA #Hubble #CoralReef #Nebula #Stars #Astronomy",nasa,https://www.instagram.com/p/DNQuxufAih9/,post_9.jpg,https://drive.google.com/uc?id=15QcDFsIWj7o6rtWjJwUwiLpbhsWh3-EL
